Customer Type,Gender,Product Category,Unit Price,Quantity,Total,Date,Time,Payment,Discount,Rating
Member,Female,Beverages,11000,12,132000,4/27/2024,10:58,Qris,30,9
Member,Female,Snack,9000,4,36000,4/27/2024,11:14,Cash,0,4
Member,Female,Fruits,6300,5,31500,4/27/2024,11:21,Transfer,5,3
Regular,Female,Vegetables,17600,13,228800,4/27/2024,11:25,Transfer,15,6
Regular,Female,Fruits,13100,10,131000,4/27/2024,11:37,Card,10,5
Member,Female,Beverages,12100,1,12100,4/27/2024,11:54,Qris,5,5
Regular,Female,Kitchen Consumption,9300,8,74400,4/27/2024,11:57,Card,30,10
Regular,Male,Fruits,9500,5,47500,4/27/2024,12:08,Cash,0,3
Member,Female,Bakery,12100,13,157300,4/27/2024,12:16,Cash,15,6
Regular,Female,Fruits,13100,14,183400,4/27/2024,12:28,Transfer,30,10
Regular,Male,Instant Food,10300,10,103000,4/27/2024,12:40,Transfer,10,6
Regular,Female,Kitchen Consumption,13400,12,160800,4/27/2024,12:57,Qris,10,6
Member,Female,Kitchen Consumption,2200,10,22000,4/27/2024,13:07,Card,15,5
Member,Male,Seafood,67800,4,271200,4/27/2024,13:13,Cash,5,4
Regular,Female,Dairy Product,43700,9,393300,4/27/2024,13:20,Qris,15,5
Member,Male,Bakery,21400,6,128400,4/27/2024,13:24,Cash,5,5
Regular,Female,Beverages,8700,9,78300,4/27/2024,13:37,Cash,20,7
Member,Female,Seafood,44000,8,352000,4/27/2024,13:48,Card,10,6
Regular,Female,Seafood,90900,6,545400,4/27/2024,13:58,Cash,10,6
Regular,Male,Fruits,9600,9,86400,4/27/2024,14:22,Transfer,10,5
Member,Female,Vegetables,17600,14,246400,4/27/2024,14:34,Transfer,15,6
Regular,Male,Dairy Product,23300,7,163100,4/27/2024,14:57,Transfer,0,4
Regular,Female,Vegetables,16900,4,67600,4/27/2024,15:09,Transfer,10,6
Member,Female,Snack,8300,13,107900,4/27/2024,15:17,Cash,15,6
Regular,Female,Dessert,14400,11,158400,4/27/2024,15:29,Qris,10,5
Member,Male,Instant Food,10200,6,61200,4/27/2024,15:34,Qris,10,5
Regular,Female,Dairy Product,24300,10,243000,4/27/2024,16:03,Transfer,30,10
Member,Female,Dairy Product,23300,12,279600,4/27/2024,16:21,Qris,30,9
Regular,Male,Dairy Product,42000,14,588000,4/27/2024,16:45,Qris,10,6
Regular,Female,Bakery,8000,9,72000,4/27/2024,17:00,Card,10,6
Member,Female,Bakery,8000,14,112000,4/27/2024,18:36,Qris,5,5
Member,Female,Meat,40200,14,562800,4/27/2024,18:37,Cash,15,6
Regular,Male,Fruits,9600,12,115200,4/27/2024,18:46,Card,15,6
Member,Female,Beverages,8300,13,107900,4/27/2024,18:48,Cash,20,8
Regular,Male,Kitchen Consumption,21300,2,42600,4/27/2024,19:03,Transfer,0,4
Regular,Male,Kitchen Consumption,9800,8,78400,4/27/2024,19:23,Cash,15,5
Member,Male,Kitchen Consumption,13100,6,78600,4/27/2024,19:40,Transfer,15,6
Regular,Male,Snack,7600,14,106400,4/27/2024,19:55,Cash,30,9
Regular,Female,Beverages,12100,13,157300,4/27/2024,20:12,Transfer,30,10
Regular,Male,Vegetables,16900,11,185900,4/27/2024,21:13,Transfer,20,8
Member,Male,Dairy Product,23300,3,69900,4/27/2024,21:20,Card,5,4
Regular,Female,Beverages,8700,9,78300,4/27/2024,21:34,Qris,10,5
Regular,Male,Dessert,9300,11,102300,4/27/2024,21:35,Cash,15,6
Member,Female,Bakery,21400,5,107000,4/27/2024,21:47,Transfer,5,5
Regular,Male,Bakery,12100,13,157300,4/28/2024,8:34,Cash,15,6
Member,Female,Beverages,7800,8,62400,4/28/2024,8:43,Cash,10,6
Member,Male,Dairy Product,21200,12,254400,4/28/2024,8:52,Cash,20,8
Regular,Female,Fruits,8900,11,97900,4/28/2024,9:18,Transfer,5,5
Member,Male,Beverages,7800,1,7800,4/28/2024,9:21,Qris,20,7
Regular,Male,Kitchen Consumption,2200,10,22000,4/28/2024,9:23,Cash,30,9
Regular,Female,Snack,9000,6,54000,4/28/2024,9:28,Cash,5,5
Regular,Female,Snack,9000,14,126000,4/28/2024,9:37,Qris,20,8
Regular,Male,Snack,12000,14,168000,4/28/2024,9:47,Transfer,15,6
Member,Male,Dessert,21000,9,189000,4/28/2024,10:09,Cash,10,6
Regular,Male,Beverages,7800,10,78000,4/28/2024,10:34,Transfer,15,6
Member,Female,Bakery,9800,9,88200,4/28/2024,10:44,Card,10,5
Regular,Male,Bakery,24800,9,223200,4/28/2024,11:06,Transfer,10,6
Regular,Female,Dessert,19000,12,228000,4/28/2024,11:14,Transfer,20,7
Member,Female,Beverages,17000,10,170000,4/28/2024,11:40,Cash,10,5
Regular,Female,Seafood,88700,2,177400,4/28/2024,12:13,Transfer,20,8
Member,Female,Dessert,21000,1,21000,4/28/2024,12:27,Cash,5,5
Member,Male,Beverages,8300,4,33200,4/28/2024,12:30,Cash,10,5
Member,Male,Seafood,69800,8,558400,4/28/2024,12:33,Card,30,10
Regular,Female,Dessert,7400,9,66600,4/28/2024,12:34,Card,10,6
Regular,Female,Beverages,6800,13,88400,4/28/2024,12:45,Card,20,7
Regular,Female,Instant Food,15800,7,110600,4/28/2024,12:52,Transfer,5,4
Member,Male,Snack,28000,14,392000,4/28/2024,13:20,Card,10,6
Regular,Male,Dessert,8600,12,103200,4/28/2024,13:31,Transfer,10,5
Member,Male,Snack,12000,10,120000,4/28/2024,13:52,Qris,10,6
Regular,Male,Beverages,12100,9,108900,4/28/2024,14:00,Card,15,5
Member,Male,Vegetables,63800,11,701800,4/28/2024,14:20,Cash,15,5
Member,Male,Fruits,12300,11,135300,4/28/2024,14:27,Transfer,20,8
Member,Male,Snack,12000,13,156000,4/28/2024,14:43,Card,15,6
Regular,Male,Dessert,12300,14,172200,4/28/2024,15:26,Transfer,15,6
Member,Female,Dairy Product,43700,7,305900,4/28/2024,15:40,Card,0,4
Regular,Female,Fruits,13100,6,78600,4/28/2024,15:43,Card,5,4
Member,Female,Fruits,9500,1,9500,4/28/2024,15:44,Transfer,0,5
Regular,Male,Beverages,7800,4,31200,4/28/2024,16:12,Cash,0,5
Regular,Female,Dessert,12300,9,110700,4/28/2024,16:54,Card,15,6
Regular,Male,Snack,28000,7,196000,4/28/2024,17:01,Qris,0,3
Member,Male,Fruits,8400,11,92400,4/28/2024,17:06,Card,15,6
Regular,Female,Fruits,9500,10,95000,4/28/2024,17:18,Qris,15,6
Member,Female,Bakery,24800,9,223200,4/28/2024,17:26,Qris,15,5
Member,Female,Fruits,7500,9,67500,4/28/2024,17:31,Qris,10,5
Regular,Female,Snack,9000,12,108000,4/28/2024,18:36,Cash,10,5
Member,Male,Snack,12000,9,108000,4/28/2024,18:48,Qris,10,6
Member,Female,Vegetables,9200,11,101200,4/28/2024,19:37,Cash,5,5
Regular,Male,Beverages,11000,14,154000,4/28/2024,20:23,Qris,15,5
Regular,Female,Vegetables,63800,11,701800,4/28/2024,20:39,Card,15,6
Member,Female,Vegetables,63800,10,638000,4/28/2024,21:04,Qris,20,8
Member,Male,Seafood,90900,12,1090800,4/28/2024,21:07,Transfer,30,9
Regular,Male,Vegetables,30700,11,337700,4/28/2024,21:09,Qris,15,6
Regular,Female,Meat,66300,13,861900,4/28/2024,21:28,Card,15,6
Member,Female,Fruits,8400,12,100800,4/28/2024,21:46,Cash,5,5
Member,Male,Vegetables,15200,12,182400,4/29/2024,8:34,Qris,15,6
Member,Male,Snack,7000,13,91000,4/29/2024,8:43,Qris,15,6
Regular,Female,Snack,12000,12,144000,4/29/2024,8:52,Card,30,9
Member,Female,Meat,78900,14,1104600,4/29/2024,9:18,Card,10,6
Regular,Male,Bakery,24800,11,272800,4/29/2024,9:21,Transfer,30,9
Member,Female,Kitchen Consumption,6500,13,84500,4/29/2024,9:23,Card,15,6
Member,Male,Snack,12000,10,120000,4/29/2024,9:28,Qris,30,10
Member,Female,Meat,47000,7,329000,4/29/2024,9:37,Qris,5,4
Regular,Female,Fruits,9600,5,48000,4/29/2024,9:47,Qris,0,5
Member,Female,Bakery,12000,1,12000,4/29/2024,10:09,Card,10,6
Member,Female,Bakery,43000,11,473000,4/29/2024,10:34,Cash,15,6
Member,Male,Bakery,21400,12,256800,4/29/2024,10:44,Transfer,15,5
Member,Male,Dessert,14400,8,115200,4/29/2024,11:06,Qris,10,6
Regular,Female,Seafood,49400,9,444600,4/29/2024,11:14,Transfer,10,5
Member,Male,Vegetables,29700,7,207900,4/29/2024,11:40,Cash,5,5
Regular,Female,Snack,7700,9,69300,4/29/2024,12:13,Cash,30,10
Regular,Female,Vegetables,30700,5,153500,4/29/2024,12:27,Card,5,4
Member,Male,Vegetables,12000,11,132000,4/29/2024,12:30,Card,20,8
Member,Female,Meat,66300,6,397800,4/29/2024,12:33,Qris,10,5
Regular,Female,Beverages,8300,8,66400,4/29/2024,12:34,Cash,10,5
Regular,Male,Instant Food,7350,4,29400,4/29/2024,12:45,Card,0,5
Member,Female,Vegetables,16900,9,152100,4/29/2024,12:52,Cash,10,6
Member,Female,Dairy Product,24300,4,97200,4/29/2024,13:20,Card,5,3
Member,Male,Seafood,69800,8,558400,4/29/2024,13:31,Card,10,5
Regular,Female,Dairy Product,43700,4,174800,4/29/2024,13:52,Qris,10,6
Regular,Female,Dessert,17000,13,221000,4/29/2024,14:00,Transfer,15,6
Member,Male,Bakery,21400,12,256800,4/29/2024,14:20,Card,20,8
Member,Female,Dessert,9300,10,93000,4/29/2024,14:27,Cash,10,6
Regular,Female,Dessert,17000,9,153000,4/29/2024,14:43,Card,10,5
Member,Female,Vegetables,17600,12,211200,4/29/2024,15:26,Card,30,9
Regular,Female,Seafood,49400,12,592800,4/29/2024,15:40,Card,20,8
Regular,Female,Instant Food,6500,12,78000,4/29/2024,15:43,Card,15,5
Regular,Female,Fruits,13100,10,105000,4/30/2024,18:01,Card,15,6
Member,Male,Vegetables,30700,12,180000,4/30/2024,18:12,Transfer,15,6
Regular,Male,Beverages,8700,10,78000,4/30/2024,18:23,Cash,10,6
Member,Female,Dairy Product,43700,1,45000,4/30/2024,18:34,Qris,10,6
Regular,Female,Bakery,13200,9,28800,4/30/2024,18:45,Card,15,6
Member,Male,Snack,7900,12,76500,4/30/2024,18:56,Cash,15,5
Regular,Male,Kitchen Consumption,29200,1,13500,4/30/2024,19:07,Transfer,5,5
Member,Female,Dessert,19000,13,91000,4/30/2024,19:18,Cash,10,6
Regular,Female,Seafood,41200,9,132000,4/30/2024,19:29,Qris,15,6
Member,Male,Instant Food,15800,9,128000,4/30/2024,19:40,Card,10,5
Regular,Female,Fruits,4000,1,162000,4/30/2024,19:51,Cash,20,8
Member,Male,Dairy Product,43700,9,80000,4/30/2024,20:02,Qris,10,5
Regular,Female,Bakery,7900,10,28000,4/30/2024,20:13,Card,10,6
Member,Male,Snack,8300,13,150000,4/30/2024,20:24,Transfer,15,6
Regular,Female,Kitchen Consumption,29200,12,136000,4/30/2024,20:35,Cash,15,6
Member,Male,Dessert,8600,11,90000,4/30/2024,20:46,Qris,15,6
Regular,Female,Seafood,88700,10,135000,4/30/2024,20:57,Card,10,5
Member,Male,Instant Food,9800,1,57600,4/30/2024,21:08,Cash,5,3
Regular,Female,Fruits,9600,2,41600,4/30/2024,21:19,Transfer,20,8
Member,Male,Dairy Product,22300,4,99000,4/30/2024,21:30,Qris,5,5
Regular,Female,Bakery,24800,7,84000,4/30/2024,21:41,Card,10,5
Member,Male,Snack,9000,4,168000,4/30/2024,21:52,Cash,0,5
Regular,Female,Kitchen Consumption,21300,8,130000,4/30/2024,22:03,Transfer,15,6
Member,Male,Dessert,12300,10,64000,4/30/2024,22:14,Qris,10,6
Regular,Female,Seafood,49400,10,168000,4/30/2024,22:25,Cash,30,9
Member,Male,Instant Food,3400,14,140000,4/30/2024,22:36,Card,30,10
Regular,Female,Fruits,8900,13,135000,4/30/2024,22:47,Transfer,15,6
Member,Male,Dairy Product,32800,7,96000,4/30/2024,22:58,Qris,0,5
Regular,Female,Bakery,7900,14,63000,5/1/2024,8:11,Card,15,6
Member,Male,Snack,8300,4,65000,5/1/2024,8:22,Cash,20,8
Regular,Female,Kitchen Consumption,10200,13,68000,5/1/2024,8:33,Transfer,5,5
Member,Male,Dessert,8600,4,72000,5/1/2024,8:44,Qris,10,5
Regular,Female,Seafood,67800,12,180000,5/1/2024,8:55,Cash,15,6
Member,Male,Instant Food,7350,9,144000,5/1/2024,9:06,Card,10,6
Regular,Female,Fruits,9500,1,70000,5/1/2024,9:17,Transfer,0,5
Member,Male,Dairy Product,43700,4,38400,5/1/2024,9:28,Qris,5,5
Regular,Female,Bakery,12000,6,27000,5/1/2024,9:39,Cash,15,6
Member,Male,Snack,7000,14,76500,5/1/2024,9:50,Card,5,4
Regular,Female,Kitchen Consumption,13100,11,40000,5/1/2024,10:01,Transfer,15,6
Member,Male,Dessert,11000,13,144000,5/1/2024,10:12,Qris,15,5
Regular,Female,Seafood,49400,9,144000,5/1/2024,10:23,Cash,10,6
Member,Male,Instant Food,6900,9,55000,5/1/2024,10:34,Card,10,6
Regular,Female,Fruits,13100,12,104000,5/1/2024,10:45,Transfer,5,5
Member,Male,Dairy Product,34000,13,126000,5/1/2024,10:56,Qris,30,9
Regular,Female,Bakery,12100,6,54000,5/1/2024,11:07,Cash,0,5
Member,Male,Snack,23000,12,176000,5/1/2024,11:18,Card,20,7
Regular,Female,Kitchen Consumption,10200,7,77000,5/1/2024,11:29,Transfer,5,4
Member,Male,Dessert,9300,9,51000,5/1/2024,11:40,Qris,15,6
Regular,Female,Seafood,90900,12,72000,5/1/2024,11:51,Cash,15,5
Member,Male,Instant Food,37900,2,126000,5/1/2024,12:02,Card,20,7
Regular,Female,Fruits,13100,11,40000,5/1/2024,12:13,Transfer,10,5
Member,Male,Dairy Product,43700,11,56000,5/1/2024,12:24,Qris,30,9
Regular,Female,Bakery,7900,4,54000,5/1/2024,12:35,Cash,15,5
Member,Male,Snack,23000,10,77000,5/1/2024,12:46,Card,15,5
Regular,Female,Kitchen Consumption,6500,11,96000,5/1/2024,12:57,Transfer,15,5
Member,Male,Dessert,11000,11,24000,5/1/2024,13:08,Qris,20,7
Regular,Female,Seafood,69800,13,176000,5/1/2024,13:19,Cash,30,9
Member,Male,Instant Food,6500,3,75000,5/1/2024,13:30,Card,5,5
Regular,Female,Fruits,8400,10,60000,5/1/2024,13:41,Transfer,10,5
Member,Male,Dairy Product,42000,11,96000,5/1/2024,13:52,Qris,10,5
Regular,Female,Bakery,8000,12,35000,5/1/2024,14:03,Cash,5,4
Member,Male,Snack,8300,13,126000,5/1/2024,14:14,Card,10,6
Regular,Female,Kitchen Consumption,24000,4,68000,5/1/2024,14:25,Transfer,0,5
Member,Male,Dessert,8600,8,27000,5/1/2024,14:36,Qris,20,7
Regular,Female,Seafood,129300,12,160000,5/1/2024,14:47,Cash,15,6
Member,Male,Instant Food,15800,14,65000,5/1/2024,14:58,Card,20,8
Regular,Female,Fruits,8400,10,54000,5/1/2024,15:09,Transfer,10,6
Member,Male,Dairy Product,34000,1,56000,5/1/2024,15:20,Qris,0,5
Regular,Female,Bakery,22300,8,42000,5/1/2024,15:31,Cash,20,8
Member,Male,Snack,7900,10,108000,5/1/2024,15:42,Card,10,6
Regular,Female,Kitchen Consumption,21300,6,56000,5/1/2024,15:53,Transfer,0,3
Member,Male,Dessert,21000,11,16000,5/1/2024,16:04,Qris,15,5
Regular,Female,Seafood,90900,12,133000,5/1/2024,16:15,Cash,20,7
Member,Male,Instant Food,10300,1,48000,5/1/2024,16:26,Card,5,5
Regular,Female,Fruits,4000,8,66000,5/1/2024,16:37,Transfer,10,6
Member,Male,Dairy Product,23300,2,90000,5/1/2024,16:48,Qris,5,5
Regular,Female,Bakery,12100,9,35000,5/1/2024,16:59,Cash,15,6
Member,Male,Snack,7700,2,120000,5/1/2024,17:10,Card,0,4
Regular,Female,Kitchen Consumption,24000,5,60000,5/1/2024,17:21,Transfer,30,9
Member,Male,Dessert,21000,6,14000,5/1/2024,17:32,Qris,0,5
Regular,Female,Seafood,41900,4,136000,5/1/2024,17:43,Cash,0,4
Member,Male,Instant Food,3400,14,77000,5/1/2024,17:54,Card,20,7
Regular,Female,Fruits,9600,9,78000,5/1/2024,18:05,Transfer,30,9
Member,Male,Dairy Product,42000,10,54000,5/1/2024,18:16,Qris,10,5
Regular,Female,Bakery,22300,13,28000,5/1/2024,18:27,Cash,20,7
Member,Male,Snack,7000,5,144000,5/1/2024,18:38,Card,0,5
Regular,Female,Kitchen Consumption,24000,12,60000,5/1/2024,18:49,Transfer,15,5
Member,Male,Dessert,8600,11,27000,5/1/2024,19:00,Qris,15,5
Regular,Female,Seafood,67800,4,128000,5/1/2024,19:11,Cash,5,5
Member,Male,Instant Food,10300,9,56000,5/1/2024,19:22,Card,30,10
Regular,Female,Fruits,8400,9,42000,5/1/2024,19:33,Transfer,15,6
Member,Male,Dairy Product,22300,5,88000,5/1/2024,19:44,Qris,20,8
Regular,Female,Bakery,12100,12,42000,5/1/2024,19:55,Cash,30,9
Member,Male,Snack,7000,11,117000,5/1/2024,20:06,Card,10,5
Regular,Female,Kitchen Consumption,9300,11,54000,5/1/2024,20:17,Transfer,15,6
Member,Male,Dessert,12300,13,22000,5/1/2024,20:28,Qris,20,7
Regular,Female,Seafood,44000,5,133000,5/1/2024,20:39,Cash,0,4
Member,Male,Instant Food,6500,1,50000,5/1/2024,20:50,Card,10,5
Regular,Female,Fruits,4000,3,96000,5/1/2024,21:01,Transfer,5,5
Member,Male,Dairy Product,34000,11,81000,5/1/2024,21:12,Qris,5,5
Regular,Female,Bakery,12000,2,30000,5/1/2024,21:23,Cash,20,8
Member,Male,Snack,7000,9,96000,5/1/2024,21:34,Card,30,10
Regular,Female,Kitchen Consumption,13100,8,64000,5/1/2024,21:45,Transfer,20,7
Member,Male,Dessert,7400,4,30000,5/1/2024,21:56,Qris,0,5
Regular,Female,Seafood,49400,2,136000,5/1/2024,22:07,Cash,30,10
Member,Male,Instant Food,37900,11,55000,5/1/2024,22:18,Card,30,9
Regular,Female,Fruits,6300,9,56000,5/1/2024,22:29,Transfer,20,7
Member,Male,Dairy Product,22300,10,54000,5/1/2024,22:40,Qris,20,8
Regular,Female,Bakery,12100,14,30000,5/1/2024,22:51,Cash,20,8
Member,Male,Snack,9000,6,99000,5/1/2024,22:53,Card,0,5
Regular,Female,Kitchen Consumption,9300,12,102000,5/1/2024,22:55,Transfer,15,6
Regular,Male,Fruits,13100,10,42500,5/1/2024,8:00,Cash,10,6
Regular,Female,Bakery,21400,6,19500,5/1/2024,8:01,Card,20,8
Regular,Male,Seafood,88700,7,64000,5/1/2024,8:02,Cash,5,3
